types;count
code_smell;88
code_smell;12
code_smell;47
code_smell;6
code_smell;0
code_smell;46
code_smell;0
code_smell;0
code_smell;34
code_smell;52
code_smell;36
code_smell;61
code_smell;11
code_smell;2
code_smell;23
code_smell;24
code_smell;31
code_smell;0
code_smell;8
code_smell;30
code_smell;0
code_smell;15
code_smell;5
code_smell;0
code_smell;16
code_smell;12
code_smell;46
code_smell;12
code_smell;40
code_smell;0
code_smell;7
code_smell;50
code_smell;41
code_smell;8
code_smell;4
code_smell;4
code_smell;144
code_smell;16
code_smell;8
code_smell;8
code_smell;95
code_smell;0
code_smell;16
code_smell;0
code_smell;2
code_smell;8
code_smell;24
code_smell;8
code_smell;13
code_smell;1039
code_smell;33
code_smell;23
code_smell;7
code_smell;7
code_smell;1
code_smell;1
code_smell;60
code_smell;26
code_smell;2
code_smell;5
code_smell;46
code_smell;16
code_smell;1
code_smell;8
code_smell;20
code_smell;4
code_smell;6
code_smell;10
code_smell;20
code_smell;0
code_smell;129
code_smell;28
code_smell;9
code_smell;0
code_smell;0
code_smell;33
code_smell;13
code_smell;0
code_smell;36
code_smell;0
code_smell;12
code_smell;1
code_smell;4
code_smell;13
code_smell;0
code_smell;0
code_smell;7
code_smell;32
code_smell;32
code_smell;32
code_smell;3
code_smell;3
code_smell;0
code_smell;1
code_smell;182
code_smell;182
code_smell;5
code_smell;3
code_smell;20
code_smell;31
code_smell;28
code_smell;59
code_smell;10
code_smell;364
code_smell;11
code_smell;233
code_smell;40
code_smell;0
code_smell;0
code_smell;4
code_smell;0
code_smell;3
code_smell;10
code_smell;4
code_smell;0
code_smell;32
code_smell;8
code_smell;15
code_smell;122
code_smell;24
code_smell;3
code_smell;3
code_smell;32
code_smell;4
code_smell;10
code_smell;5
code_smell;8
code_smell;0
code_smell;5
code_smell;0
code_smell;7
code_smell;3
code_smell;0
code_smell;0
code_smell;0
code_smell;9
code_smell;2
code_smell;12
code_smell;2
code_smell;3
code_smell;3
code_smell;42
code_smell;3
code_smell;31
code_smell;31
code_smell;18
code_smell;3
code_smell;3
code_smell;4
code_smell;10
code_smell;6
code_smell;2
code_smell;871
code_smell;1
code_smell;1
code_smell;25
code_smell;1
code_smell;1
code_smell;11
code_smell;1
code_smell;2
code_smell;42
code_smell;1
code_smell;4
code_smell;1
code_smell;4
code_smell;7
code_smell;28
code_smell;12
code_smell;14
code_smell;1
code_smell;1
code_smell;38
code_smell;38
code_smell;4
code_smell;95
code_smell;76
code_smell;4
code_smell;1
code_smell;1
code_smell;217
code_smell;0
code_smell;13
code_smell;3
code_smell;6
code_smell;95
code_smell;4
code_smell;4
code_smell;12
code_smell;12
code_smell;0
code_smell;37
code_smell;6
code_smell;0
code_smell;1
code_smell;5
code_smell;1
code_smell;0
code_smell;4
code_smell;0
code_smell;0
code_smell;4
code_smell;1
code_smell;1
code_smell;0
code_smell;2
code_smell;4
code_smell;0
code_smell;0
code_smell;9
code_smell;0
code_smell;1
code_smell;1
code_smell;1
code_smell;0
code_smell;9
code_smell;125
code_smell;9
code_smell;9
code_smell;0
code_smell;0
code_smell;14
code_smell;0
code_smell;0
code_smell;0
code_smell;1
code_smell;1
code_smell;1
code_smell;1
code_smell;26
code_smell;1
code_smell;1
code_smell;1
code_smell;2
code_smell;0
code_smell;1
code_smell;1
code_smell;9
code_smell;0
code_smell;0
code_smell;1
code_smell;1
code_smell;5
code_smell;0
code_smell;1
code_smell;0
code_smell;0
code_smell;2
code_smell;0
code_smell;1
code_smell;9
code_smell;0
code_smell;1
code_smell;3
code_smell;48
code_smell;0
code_smell;3
code_smell;0
code_smell;4
code_smell;48
code_smell;1
code_smell;0
code_smell;1
code_smell;1
code_smell;1
code_smell;7
code_smell;2
code_smell;4
code_smell;0
code_smell;4
code_smell;4
code_smell;2
code_smell;1
code_smell;4
code_smell;9
code_smell;7
code_smell;1
code_smell;23
code_smell;3
code_smell;6
code_smell;1
code_smell;2
code_smell;4
code_smell;4
code_smell;1
code_smell;1
code_smell;2
code_smell;3
code_smell;5
code_smell;0
code_smell;1
code_smell;132
code_smell;0
code_smell;1
code_smell;32
code_smell;9
code_smell;4
code_smell;10
code_smell;5
code_smell;8
code_smell;1
code_smell;2
code_smell;18
code_smell;3
code_smell;0
code_smell;33
code_smell;0
code_smell;0
code_smell;2
code_smell;7
code_smell;11
code_smell;0
code_smell;8
code_smell;5
code_smell;25
code_smell;1
code_smell;1
code_smell;3
code_smell;25
code_smell;0
code_smell;18
code_smell;13
code_smell;0
code_smell;21
code_smell;6
code_smell;33
code_smell;132
code_smell;1
code_smell;0
code_smell;0
code_smell;0
code_smell;33
code_smell;6
code_smell;1
code_smell;1
code_smell;1
code_smell;3
code_smell;1
code_smell;0
code_smell;1
code_smell;3
code_smell;1
code_smell;0
code_smell;0
code_smell;0
code_smell;7
code_smell;7
code_smell;0
code_smell;0
code_smell;0
code_smell;0
code_smell;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;6
bugs;0
bugs;0
bugs;4
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;5
bugs;3
bugs;6
bugs;0
bugs;0
bugs;0
bugs;4
bugs;0
bugs;11
bugs;0
bugs;2
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;2
bugs;0
bugs;1
bugs;1
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;4
bugs;0
bugs;0
bugs;3
bugs;0
bugs;0
bugs;167
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;3
bugs;6
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;6
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;6
bugs;2
bugs;2
bugs;1
bugs;5
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;2
bugs;0
bugs;0
bugs;0
bugs;8
bugs;0
bugs;0
bugs;6
bugs;6
bugs;6
bugs;4
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;21
bugs;32
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;13
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;2
bugs;0
bugs;0
bugs;0
bugs;0
bugs;4
bugs;4
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;18
bugs;1
bugs;0
bugs;0
bugs;0
bugs;9
bugs;0
bugs;0
bugs;1
bugs;1
bugs;0
bugs;10
bugs;0
bugs;2
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;2
bugs;0
bugs;0
bugs;1
bugs;0
bugs;1
bugs;0
bugs;0
bugs;1
bugs;1
bugs;1
bugs;0
bugs;1
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;4
bugs;0
bugs;0
bugs;0
bugs;2
bugs;0
bugs;0
bugs;3
bugs;0
bugs;23
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;3
bugs;0
bugs;2
bugs;3
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;2
bugs;2
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;3
bugs;1
bugs;1
bugs;0
bugs;3
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;2
bugs;3
bugs;0
bugs;0
bugs;1
bugs;0
bugs;1
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;1
bugs;3
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;2
bugs;1
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;3
bugs;3
bugs;1
bugs;1
bugs;0
bugs;0
bugs;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;9
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;2
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;3
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
