stargazers	total_code_smells	total_bugs	total_vulnerabilities	issues
170	88	0	0	88
19	12	0	1	13
430	47	0	0	47
116	6	0	1	7
262	0	0	0	0
140	46	0	0	46
104	0	6	0	6
139	0	0	0	0
116	34	0	1	35
114	52	4	0	56
16	36	0	1	37
81	61	0	0	61
98	11	0	0	11
9	2	0	0	2
156	23	1	0	24
96	24	5	0	29
11	31	3	0	34
105	0	6	0	6
121	8	0	0	8
265	30	0	0	30
114	0	0	0	0
242	15	4	0	19
28	5	0	1	6
590	0	11	0	11
15	16	0	0	16
100	12	2	0	14
62	46	0	0	46
495	12	0	0	12
5	40	1	0	41
7	0	0	0	0
79	7	0	0	7
55	50	2	0	52
54	41	0	0	41
5	8	1	0	9
0	4	1	0	5
28	4	1	0	5
38	144	0	0	144
23	16	0	0	16
2	8	0	0	8
20	8	0	0	8
437	95	1	0	96
13	0	0	0	0
2	16	0	0	16
347	0	4	1	5
82	2	0	0	2
423	8	0	0	8
195	24	3	0	27
23	8	0	0	8
19	13	0	0	13
7	1039	167	9	1215
171	33	0	1	34
121	23	1	0	24
5	7	0	0	7
0	7	0	0	7
283	1	0	0	1
0	1	0	0	1
13	60	0	0	60
47	26	0	0	26
245	2	0	0	2
90	5	0	0	5
12	46	0	0	46
106	16	0	0	16
139	1	0	0	1
1	8	0	1	9
2	20	0	0	20
3	4	0	0	4
8	6	0	0	6
0	10	0	0	10
6	20	0	0	20
208	0	0	0	0
2053	129	0	0	129
2014	28	1	0	29
2888	9	3	0	12
0	0	6	0	6
38	0	0	0	0
154	33	0	0	33
2	13	1	0	14
0	0	0	0	0
3	36	0	0	36
5	0	1	0	1
60	12	0	1	13
57	1	0	0	1
10	4	0	0	4
176	13	1	0	14
302	0	0	0	0
35	0	0	0	0
28	7	0	0	7
123	32	0	0	32
24	32	0	0	32
47	32	0	0	32
6	3	0	0	3
1161	3	0	0	3
0	0	0	0	0
0	1	0	0	1
391	182	0	0	182
9	182	0	0	182
25	5	0	0	5
12	3	0	0	3
367	20	0	0	20
275	31	0	0	31
28	28	0	0	28
47	59	0	0	59
27	10	0	0	10
252	364	0	0	364
183	11	0	0	11
7	233	0	0	233
3	40	0	0	40
33	0	1	2	3
110	0	6	0	6
670	4	0	0	4
1	0	1	0	1
25	3	0	0	3
9	10	0	0	10
16	4	0	0	4
50	0	6	0	6
55	32	2	0	34
0	8	2	0	10
0	15	1	0	16
316	122	5	0	127
38	24	0	0	24
8	3	0	0	3
5	3	0	0	3
3	32	0	0	32
179	4	0	0	4
4	10	0	0	10
3	5	2	0	7
4	8	0	1	9
139	0	0	0	0
74	5	0	0	5
0	0	8	0	8
11	7	0	1	8
11	3	0	0	3
145	0	6	0	6
112	0	6	0	6
144	0	6	0	6
98	9	4	0	13
90	2	0	0	2
0	12	0	0	12
2	2	0	0	2
4	3	0	0	3
11	3	0	0	3
13	42	0	0	42
0	3	0	0	3
11	31	0	0	31
2	31	0	0	31
112	18	0	0	18
44	3	0	0	3
41	3	0	0	3
1	4	0	0	4
25	10	0	0	10
2	6	0	0	6
60	2	21	0	23
5	871	32	0	903
8	1	1	0	2
0	1	0	0	1
7	25	0	0	25
7	1	0	0	1
244	1	0	0	1
18	11	0	0	11
12	1	0	0	1
170	2	0	0	2
49	42	13	3	58
47	1	0	0	1
110	4	0	0	4
40	1	0	0	1
61	4	0	0	4
80	7	1	0	8
79	28	2	0	30
12	12	0	0	12
50	14	0	0	14
6	1	0	0	1
339	1	0	0	1
3	38	4	0	42
499	38	4	0	42
24	4	0	0	4
30	95	0	0	95
20	76	0	0	76
65	4	0	0	4
18	1	0	0	1
4	1	0	0	1
27	217	18	0	235
34	0	1	0	1
64	13	0	0	13
22	3	0	0	3
64	6	0	0	6
458	95	9	0	104
15	4	0	0	4
8	4	0	0	4
93	12	1	0	13
24	12	1	0	13
